"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Everyone short of an administrator is refused, a writer included.

Write on a project means write inside it, not power over it.
","46","test_deleting_a_project_is_refused[share_pwd]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_access_matrix","",""
"One operation, asked of both versions about something absent.

Contract deviations are recorded rather than raised here: this walks
error paths it did not choose, and a deviation reported from the
transport hook would fail the test before it compared anything. The
deviations still reach the end-of-run report.
","11","test_both_versions_name_the_same_failure[DELETE-tokens-{}]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_error_codes","",""
"","8","test_operation_demands_a_credential[v1-GET-/teams/{id}]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","179","test_a_scoped_token_reaches_what_it_was_granted[projects_users-read_all]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_token_scopes","",""
"","5","test_documented_operation_exists[v2-GET-/admin/overview]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","85","test_a_task_that_exists_is_indistinguishable_from_one_that_does_not","tests.api.authorization","2026-09-22","skipped","2026-09-22","","test_existence_disclosure","",""
"","2","test_operation_demands_a_credential[v2-PATCH-/user/bots/{bot}]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","2","test_operation_demands_a_credential[v2-GET-/admin/overview]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","24","test_operation_demands_a_credential[v1-GET-/backgrounds/unsplash/image/{image}]","tests.api.authorization","2026-09-22","skipped","2026-09-22","","test_credentials_required","",""
"","28","test_deleting_a_task[share_read]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_access_matrix","",""
"One operation, asked of both versions about something absent.

Contract deviations are recorded rather than raised here: this walks
error paths it did not choose, and a deviation reported from the
transport hook would fail the test before it compared anything. The
deviations still reach the end-of-run report.
","25","test_both_versions_name_the_same_failure[DELETE-filters-{}]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_error_codes","",""
"","9","test_operation_demands_a_credential[v2-DELETE-/projects/{project}/views/{view}]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
