"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1838","test_the_browser_lands_signed_in[chromium]","tests.ui.framework","2026-09-22","passed","2026-09-22","","test_session","",""
"","7","test_documented_operation_exists[v1-POST-/projects/{project}/views/{view}/buckets/{bucket}/tasks]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","7","test_documented_operation_exists[v1-POST-/teams/{id}/members/{userID}/admin]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","18","test_documented_operation_exists[v2-GET-/tasks/{task_id}/time-entries]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"The property the whole isolation argument rests on, asked of the rows.

Isolation by ownership says two accounts that have never met cannot see
each other's data. That is about reading. This is the other half, and
the half nothing else here checks: one account's write must not *modify*
another's rows.

It cannot be asked through the API — a stranger's project is not
readable by definition — so it is asked of the database, by identifier,
the way everything else in this file is.
","1008","test_a_write_by_one_account_leaves_another_accounts_projects_alone","tests.api.integrity","2026-09-22","skipped","2026-09-22","","test_data_integrity","",""
"","2","test_documented_operation_exists[v2-POST-/user/password]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","144","test_a_scoped_token_reaches_what_it_was_granted[teams-read_all]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_token_scopes","",""
"","20","test_a_malformed_api_token_is_refused_without_breaking_anything[right-shape-not-hexadecimal]","tests.api.boundaries","2026-09-22","passed","2026-09-22","","test_credential_shapes","",""
"","2","test_documented_operation_exists[v1-POST-/user/settings/totp/disable]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","7","test_operation_demands_a_credential[v1-POST-/login]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","2","test_documented_operation_exists[v1-DELETE-/tasks/{taskID}/relations/{relationKind}/{otherTaskID}]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","8","test_operation_demands_a_credential[v1-GET-/routes]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"One operation, asked of both versions about something absent.

Contract deviations are recorded rather than raised here: this walks
error paths it did not choose, and a deviation reported from the
transport hook would fail the test before it compared anything. The
deviations still reach the end-of-run report.
","17","test_both_versions_name_the_same_failure[DELETE-teams-{}]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_error_codes","",""
"","8","test_operation_demands_a_credential[v2-DELETE-/projects/{project}/webhooks/{webhook}]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","6","test_operation_demands_a_credential[v1-PUT-/projects/{id}/webhooks]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","4","test_documented_operation_exists[v2-POST-/oauth/authorize]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","9","test_operation_demands_a_credential[v1-GET-/tasks/{id}/attachments]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"Everyone short of an administrator is refused, a writer included.

Write on a project means write inside it, not power over it.
","53","test_deleting_a_project_is_refused[teammate]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_access_matrix","",""
"","5","test_documented_operation_exists[v1-GET-/projects/{project}/views/{id}]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","3","test_documented_operation_exists[v1-POST-/user/deletion/confirm]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","17","test_reading_a_task[share_write]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_access_matrix","",""
"","11","test_documented_operation_exists[v1-GET-/filters/{id}]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"GHSA-2pv8-4c52-mf8j.

A share hash was disclosable, and the token it yielded then reached
attachments belonging to other projects. The hash half is not the
part to pin; the scope of the token is.
","1310","test_a_link_share_token_reaches_only_its_own_project","tests.api.regressions","2026-09-22","passed","2026-09-22","","test_published_vulnerabilities","",""
"","4","test_documented_operation_exists[v1-GET-/webhooks/events]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","3","test_documented_operation_exists[v2-PATCH-/user/settings/avatar/provider]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","3","test_operation_demands_a_credential[v2-POST-/tasks/{projecttask}/assignees]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"The boundary GHSA-2pv8-4c52-mf8j crossed, asked of the browser.

The api layer asks it of the token directly. Here the question is
whether the frontend, holding that token, can be pointed at another
project and made to render it — which is a URL a curious visitor can
simply type.

The claim is the redirect, not the absence of the secret. ""The other
project's task is not on screen"" is true of an error page, of a blank
page and of a page that never loaded; being sent to sign in is a
specific thing the product does, and it is what says the token was
recognised as not covering this project.
","7133","test_a_link_share_reaches_only_the_project_it_was_made_for[firefox]","tests.ui.sharing","2026-09-22","passed","2026-09-22","","test_public_link","",""
"Granting one action in an area must not grant the rest of it: the
check that would catch a scope widened by accident.","102","test_a_scoped_token_is_refused_its_siblings[projects_webhooks-read_all]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_token_scopes","",""
"","3","test_operation_demands_a_credential[v2-POST-/migration/vikunja-file/migrate]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","4","test_documented_operation_exists[v1-DELETE-/projects/{project}/views/{id}]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","9","test_documented_operation_exists[v2-DELETE-/tasks/{projecttask}/labels/{label}]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","8","test_operation_demands_a_credential[v1-GET-/tasks]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"The control for the test above.

Without it, a board that finished every task it was handed — whichever
column it was dropped into — would pass. ""Doing"" is an ordinary column,
so a task that lands there has moved and nothing more.
","7107","test_a_card_dragged_into_an_ordinary_column_is_moved_and_not_finished[webkit]","tests.ui.views","2026-09-22","passed","2026-09-22","","test_kanban_board","",""
"","2","test_operation_demands_a_credential[v1-POST-/user/token]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","5","test_documented_operation_exists[v2-GET-/projects/{project}/views]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","26","test_operation_demands_a_credential[v1-POST-/user/settings/email]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","7","test_operation_demands_a_credential[v1-DELETE-/teams/{id}/members/{username}]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","5","test_operation_demands_a_credential[v2-GET-/user/settings/totp]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"One operation, asked of both versions about something absent.

Contract deviations are recorded rather than raised here: this walks
error paths it did not choose, and a deviation reported from the
transport hook would fail the test before it compared anything. The
deviations still reach the end-of-run report.
","16","test_both_versions_name_the_same_failure[DELETE-projects-{}-shares-{}]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_error_codes","",""
"","3","test_operation_demands_a_credential[v2-PATCH-/tasks/{task}/comments/{commentid}]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","3","test_operation_demands_a_credential[v2-DELETE-/filters/{filter}]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"v2 answers handler errors as problem+json and v1 as plain JSON.
VKJ-008 covers where v2 fails to keep that promise.","42","test_handler_errors_use_different_media_types","tests.api.contracts","2026-09-22","passed","2026-09-22","TestDeliberateDifferences","test_cross_version","",""
"","7","test_documented_operation_exists[v2-POST-/register]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","38","test_documented_operation_exists[v2-POST-/user/deletion/confirm]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","14","test_operation_demands_a_credential[v1-GET-/admin/users]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","7","test_documented_operation_exists[v2-PUT-/projects/{project}/backgrounds/upload]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","7","test_operation_demands_a_credential[v2-PUT-/projects/{project}/views/{view}]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","26","test_updating_a_task[token_narrow]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_access_matrix","",""
"","7","test_documented_operation_exists[v2-GET-/tasks/{task}/attachments/{attachment}]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","2","test_operation_demands_a_credential[v2-GET-/projects/{project}/users/search]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","4","test_operation_demands_a_credential[v2-GET-/projects/{project}/tasks]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","10","test_operation_demands_a_credential[v2-GET-/teams]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","4","test_deleting_a_task[anon]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_access_matrix","",""
"","8","test_operation_demands_a_credential[v2-GET-/tasks/{task}/comments]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","7","test_operation_demands_a_credential[v1-GET-/labels/{id}]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","2","test_documented_operation_exists[v2-PATCH-/labels/{id}]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","2","test_documented_operation_exists[v1-DELETE-/teams/{id}]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","6","test_operation_demands_a_credential[v1-GET-/{kind}/{id}/reactions]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","546","test_a_non_latin_title_from_a_calendar_client_reads_back_unchanged_in_the_api","tests.api.calendar","2026-09-22","passed","2026-09-22","","test_two_doors","",""
"","4","test_documented_operation_exists[v1-POST-/tasks/{taskID}/labels/bulk]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"Once the server is back, mail should resume within a bound that does
not depend on the traffic falling silent.","28256","test_mail_recovers_after_the_server_returns_even_under_traffic","tests.resilience.dependencies","2026-09-22","skipped","2026-09-22","","test_mail","",""
"One operation, asked of both versions about something absent.

Contract deviations are recorded rather than raised here: this walks
error paths it did not choose, and a deviation reported from the
transport hook would fail the test before it compared anything. The
deviations still reach the end-of-run report.
","52","test_both_versions_name_the_same_failure[GET-projects-{}-webhooks]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_error_codes","",""
"One operation, asked of both versions about something absent.

Contract deviations are recorded rather than raised here: this walks
error paths it did not choose, and a deviation reported from the
transport hook would fail the test before it compared anything. The
deviations still reach the end-of-run report.
","65","test_both_versions_name_the_same_failure[GET-projects-{}]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_error_codes","",""
"","17","test_operation_demands_a_credential[v1-POST-/migration/todoist/migrate]","tests.api.authorization","2026-09-22","skipped","2026-09-22","","test_credentials_required","",""
"The boundary GHSA-2pv8-4c52-mf8j crossed, asked of the browser.

The api layer asks it of the token directly. Here the question is
whether the frontend, holding that token, can be pointed at another
project and made to render it — which is a URL a curious visitor can
simply type.

The claim is the redirect, not the absence of the secret. ""The other
project's task is not on screen"" is true of an error page, of a blank
page and of a page that never loaded; being sent to sign in is a
specific thing the product does, and it is what says the token was
recognised as not covering this project.
","4441","test_a_link_share_reaches_only_the_project_it_was_made_for[webkit]","tests.ui.sharing","2026-09-22","passed","2026-09-22","","test_public_link","",""
"","10","test_operation_demands_a_credential[v2-POST-/migration/planka/migrate]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","9","test_operation_demands_a_credential[v2-GET-/migration/planka/status]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","22","test_documented_operation_exists[v1-PATCH-/admin/users/{id}/status]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","41","test_a_permission_that_is_not_a_level_is_refused[an-object]","tests.api.boundaries","2026-09-22","passed","2026-09-22","","test_permission_values","",""
"","2","test_operation_demands_a_credential[v2-DELETE-/tasks/{task}/relations/{relationKind}/{otherTask}]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","2","test_operation_demands_a_credential[v1-PUT-/{kind}/{id}/reactions]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","2","test_operation_demands_a_credential[v1-POST-/{kind}/{id}/reactions/delete]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","1909","test_a_stranger_cannot_read_someone_elses_calendar","tests.api.calendar","2026-09-22","passed","2026-09-22","","test_calendar_access","",""
"","5","test_operation_demands_a_credential[v1-GET-/migration/todoist/status]","tests.api.authorization","2026-09-22","skipped","2026-09-22","","test_credentials_required","",""
"","24","test_operation_demands_a_credential[v1-GET-/user/settings/token/caldav]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","32","test_operation_demands_a_credential[v2-DELETE-/projects/{project}/teams/{team}]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","2","test_operation_demands_a_credential[v2-PUT-/tasks/{projecttask}]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","8","test_documented_operation_exists[v2-POST-/{entitykind}/{entityid}/reactions/delete]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","3","test_operation_demands_a_credential[v1-GET-/projects]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"One operation, asked of both versions about something absent.

Contract deviations are recorded rather than raised here: this walks
error paths it did not choose, and a deviation reported from the
transport hook would fail the test before it compared anything. The
deviations still reach the end-of-run report.
","16","test_both_versions_name_the_same_failure[GET-tasks-{}-comments-{}]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_error_codes","",""
"","6","test_operation_demands_a_credential[v1-POST-/admin/users]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","4","test_operation_demands_a_credential[v2-GET-/user/settings/avatar/provider]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","3","test_operation_demands_a_credential[v1-POST-/user/token/refresh]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","5","test_operation_demands_a_credential[v2-PUT-/projects/{id}]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","21","test_operation_demands_a_credential[v1-GET-/user/settings/webhooks]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"A share behind a password is the frontend's only authentication form,
and the only place in this product where a browser asks a stranger for a
secret. What it must not do is render the project first and ask after.
","3322","test_a_password_protected_link_shows_nothing_until_the_password_is_given[chromium]","tests.ui.sharing","2026-09-22","passed","2026-09-22","","test_public_link","",""
"","8","test_operation_demands_a_credential[v1-PUT-/subscriptions/{entity}/{entityID}]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","27","test_operation_demands_a_credential[v1-GET-/migration/microsoft-todo/auth]","tests.api.authorization","2026-09-22","skipped","2026-09-22","","test_credentials_required","",""
"","4","test_operation_demands_a_credential[v1-POST-/migration/vikunja-file/migrate]","tests.api.authorization","2026-09-22","skipped","2026-09-22","","test_credentials_required","",""
"","4","test_documented_operation_exists[v2-GET-/info]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","5","test_documented_operation_exists[v2-GET-/projects/{project}/views/{view}/buckets/tasks]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","32","test_documented_operation_exists[v1-PUT-/migration/csv/detect]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"Subscribing to one event must not sign the endpoint up for the rest.

Relies on one stated assumption. The creation is dispatched before the
deletion, so a wrongly delivered creation is expected to reach the sink
first and be present when the wait returns. A delivery pipeline that
reordered events could let one slip past; proving absence outright
would take a fixed wait, which this suite does not use.
","295","test_a_webhook_ignores_events_it_did_not_subscribe_to","tests.api.side_effects","2026-09-22","passed","2026-09-22","","test_webhooks","",""
"","9","test_documented_operation_exists[v1-PUT-/labels]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","4","test_documented_operation_exists[v2-POST-/tasks/{task}/comments]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","190","test_a_scoped_token_reaches_what_it_was_granted[filters-read_one]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_token_scopes","",""
"","10","test_operation_demands_a_credential[v1-POST-/projects/{projectID}/teams/{teamID}]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","6","test_operation_demands_a_credential[v2-GET-/tasks]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","9","test_operation_demands_a_credential[v2-POST-/user/confirm]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","12","test_operation_demands_a_credential[v2-PUT-/labels/{id}]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","16","test_operation_demands_a_credential[v1-GET-/projects/{id}/webhooks]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","3","test_operation_demands_a_credential[v2-POST-/user/settings/webhooks]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","5","test_documented_operation_exists[v1-GET-/migration/vikunja-file/status]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","25","test_deleting_a_task[share_pwd]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_access_matrix","",""
"","3","test_documented_operation_exists[v2-GET-/migration/csv/status]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","15","test_operation_demands_a_credential[v2-POST-/teams/{team}/members]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","31","test_reading_a_task[reader]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_access_matrix","",""
"","3","test_documented_operation_exists[v2-DELETE-/projects/{project}/teams/{team}]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","2","test_documented_operation_exists[v1-DELETE-/tasks/{task}/labels/{label}]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","2","test_operation_demands_a_credential[v2-DELETE-/subscriptions/{entity}/{entityID}]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","3","test_operation_demands_a_credential[v1-PUT-/tasks/{task}/labels]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","6","test_operation_demands_a_credential[v2-GET-/projects/{project}/views/{view}/tasks]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","2","test_operation_demands_a_credential[v2-GET-/projects/{project}/teams]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","10","test_documented_operation_exists[v2-POST-/projects/{project}/tasks]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","10","test_operation_demands_a_credential[v1-POST-/user/settings/totp/disable]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"Asked as a comparison, because an absence on its own proves nothing.

`to_have_count(0)` is satisfied on its very first poll, so a page that
has not rendered yet answers it exactly as well as a page that correctly
withholds the control. Two things rule that out here. The view is waited
for by something that only exists once it has painted — the task list,
with this project's task in it. And the owner's view of the same project
is checked in the same run: the control is there for one caller and not
for the other, so neither result can be an artefact of timing.
","13708","test_a_reader_is_not_offered_the_add_task_control[firefox]","tests.ui.permissions","2026-09-22","passed","2026-09-22","","test_controls_follow_permissions","",""
"","93","test_a_scoped_token_reaches_what_it_was_granted[labels-read_all]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_token_scopes","",""
"One operation, asked of both versions about something absent.

Contract deviations are recorded rather than raised here: this walks
error paths it did not choose, and a deviation reported from the
transport hook would fail the test before it compared anything. The
deviations still reach the end-of-run report.
","16","test_both_versions_name_the_same_failure[DELETE-projects-{}-teams-{}]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_error_codes","",""
"","2","test_operation_demands_a_credential[v1-PUT-/teams]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","111","test_reading_a_task[token_narrow]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_access_matrix","",""
"","2","test_documented_operation_exists[v1-POST-/projects/{projectID}/users/{userID}]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","4","test_operation_demands_a_credential[v1-DELETE-/subscriptions/{entity}/{entityID}]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","2","test_documented_operation_exists[v2-GET-/users]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","11","test_documented_operation_exists[v1-POST-/shares/{share}/auth]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","11","test_documented_operation_exists[v1-POST-/notifications]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","8","test_operation_demands_a_credential[v2-POST-/user/settings/totp/enroll]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","2","test_operation_demands_a_credential[v2-DELETE-/notifications]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","1","test_operation_demands_a_credential[v1-PUT-/user/settings/avatar/upload]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","4","test_operation_demands_a_credential[v1-DELETE-/filters/{id}]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","8","test_operation_demands_a_credential[v2-DELETE-/tasks/{task}/attachments/{attachment}]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"Both callers asked for the same end state, and both got it. What
matters is that neither is told the product broke.","354","test_deleting_the_same_task_twice_at_the_same_moment_is_not_an_error","tests.api.concurrency","2026-09-22","passed","2026-09-22","","test_simultaneous_writes","",""
"","17","test_operation_demands_a_credential[v1-GET-/info]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","3","test_documented_operation_exists[v1-DELETE-/projects/{id}/background]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","4","test_operation_demands_a_credential[v2-POST-/tasks/{task}/attachments]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","4","test_operation_demands_a_credential[v2-GET-/user/settings/webhooks]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","2886","test_the_interface_follows_the_browser_language[chromium-ru-RU]","tests.ui.localisation","2026-09-22","passed","2026-09-22","","test_languages","",""
"","197","test_deleting_a_task[share_write]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_access_matrix","",""
"","15","test_documented_operation_exists[v1-PUT-/teams]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","6","test_operation_demands_a_credential[v2-GET-/projects/{project}/views/{view}]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","4","test_documented_operation_exists[v1-PATCH-/admin/projects/{id}/owner]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
"","4","test_operation_demands_a_credential[v1-GET-/tasks/{id}]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","20","test_operation_demands_a_credential[v2-DELETE-/user/sessions/{session}]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","68","test_reading_a_task[admin]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_access_matrix","",""
"","8","test_a_malformed_api_token_is_refused_without_breaking_anything[right-shape-wrong-value]","tests.api.boundaries","2026-09-22","passed","2026-09-22","","test_credential_shapes","",""
"","7","test_operation_demands_a_credential[v2-GET-/labels/{id}]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"Asked as a comparison, because an absence on its own proves nothing.

`to_have_count(0)` is satisfied on its very first poll, so a page that
has not rendered yet answers it exactly as well as a page that correctly
withholds the control. Two things rule that out here. The view is waited
for by something that only exists once it has painted — the task list,
with this project's task in it. And the owner's view of the same project
is checked in the same run: the control is there for one caller and not
for the other, so neither result can be an artefact of timing.
","5584","test_a_reader_is_not_offered_the_add_task_control[chromium]","tests.ui.permissions","2026-09-22","passed","2026-09-22","","test_controls_follow_permissions","",""
"","7","test_operation_demands_a_credential[v1-DELETE-/labels/{id}]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","7","test_operation_demands_a_credential[v2-POST-/admin/users]","tests.api.authorization","2026-09-22","passed","2026-09-22","","test_credentials_required","",""
"","2","test_documented_operation_exists[v1-DELETE-/teams/{id}/members/{username}]","tests.api.contracts","2026-09-22","passed","2026-09-22","","test_documented_operations","",""
